,Area Unit,ANZSOC Division,Year,Region,Victimisations
230,Moturoa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
231,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
232,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,2
233,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,2
234,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
235,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
236,Waitara East.,Acts Intended to Cause Injury,2023,Taranaki Region,1
237,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
238,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
239,Frankleigh.,Acts Intended to Cause Injury,2023,Taranaki Region,1
240,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
241,Opunake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
242,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
243,Barrett.,Acts Intended to Cause Injury,2023,Taranaki Region,1
244,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
245,Waitara East.,Acts Intended to Cause Injury,2023,Taranaki Region,1
246,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
247,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
248,Stratford West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
249,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
250,Fitzroy.,Acts Intended to Cause Injury,2023,Taranaki Region,1
251,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
252,Whenuakura.,Acts Intended to Cause Injury,2023,Taranaki Region,1
253,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
254,Normanby.,Acts Intended to Cause Injury,2023,Taranaki Region,1
255,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,2
256,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
257,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
258,Kaimata.,Acts Intended to Cause Injury,2023,Taranaki Region,1
259,Kapuni.,Acts Intended to Cause Injury,2023,Taranaki Region,1
260,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
261,Whenuakura.,Acts Intended to Cause Injury,2023,Taranaki Region,1
262,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
263,Westown.,Sexual Assault and Related Offences,2023,Taranaki Region,1
264,Merrilands.,Theft and Related Offences,2023,Taranaki Region,1
265,Bell Block.,Theft and Related Offences,2023,Taranaki Region,1
266,Stratford East.,Theft and Related Offences,2023,Taranaki Region,1
267,Kaitake.,Theft and Related Offences,2023,Taranaki Region,1
268,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
269,Westown.,Theft and Related Offences,2023,Taranaki Region,3
270,Opunake.,Theft and Related Offences,2023,Taranaki Region,1
271,Fitzroy.,Theft and Related Offences,2023,Taranaki Region,1
