,Area Unit,ANZSOC Division,Year,Region,Victimisations
330,Mangawhai Heads.,Theft and Related Offences,2023,Northland,1
331,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
332,Kerikeri.,Theft and Related Offences,2023,Northland,1
333,Opouteke-Tanekaha.,Theft and Related Offences,2023,Northland,1
334,Horahora.,Acts Intended to Cause Injury,2023,Northland,1
335,Waiotira-Springfield.,Theft and Related Offences,2023,Northland,1
336,Mairtown.,Theft and Related Offences,2023,Northland,1
337,Tikipunga West.,Theft and Related Offences,2023,Northland,1
338,Whangarei Central.,"Robbery, Extortion and Related Offences",2023,Northland,1
339,Port-Limeburners.,Theft and Related Offences,2023,Northland,1
340,Tikipunga West.,Acts Intended to Cause Injury,2023,Northland,1
341,Kamo West.,Theft and Related Offences,2023,Northland,1
342,Kamo East.,Theft and Related Offences,2023,Northland,1
343,Marsden Point-Ruakaka.,Acts Intended to Cause Injury,2023,Northland,1
344,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
345,Port-Limeburners.,Acts Intended to Cause Injury,2023,Northland,1
346,Mairtown.,Theft and Related Offences,2023,Northland,1
347,Kamo East.,Theft and Related Offences,2023,Northland,1
348,Dargaville.,Acts Intended to Cause Injury,2023,Northland,7
349,Kaitaia West.,Theft and Related Offences,2023,Northland,1
350,Punaruku-Kiripaka.,Theft and Related Offences,2023,Northland,1
351,Onerahi.,Acts Intended to Cause Injury,2023,Northland,1
352,Whangarei Central.,Theft and Related Offences,2023,Northland,1
353,Whangarei Central.,Theft and Related Offences,2023,Northland,1
354,Karikari Peninsula-Maungataniwha.,Acts Intended to Cause Injury,2023,Northland,1
355,Kamo East.,Theft and Related Offences,2023,Northland,1
356,Woodhill.,Theft and Related Offences,2023,Northland,1
357,Otangarei.,Theft and Related Offences,2023,Northland,1
358,Raumanga East.,"Robbery, Extortion and Related Offences",2023,Northland,1
359,Port-Limeburners.,Theft and Related Offences,2023,Northland,1
360,Paihia.,Theft and Related Offences,2023,Northland,1
361,Morningside.,Theft and Related Offences,2023,Northland,1
362,Motutangi-Kareponia.,Acts Intended to Cause Injury,2023,Northland,1
363,Whangarei Central.,Theft and Related Offences,2023,Northland,1
364,Punaruku-Kiripaka.,Theft and Related Offences,2023,Northland,1
365,Rehia-Oneriri.,Acts Intended to Cause Injury,2023,Northland,1
366,Port-Limeburners.,Theft and Related Offences,2023,Northland,1
367,Parahaki.,Theft and Related Offences,2023,Northland,1
368,Mangapa-Matauri Bay.,Acts Intended to Cause Injury,2023,Northland,1
369,Tikipunga East.,Theft and Related Offences,2023,Northland,1
370,Sherwood Rise.,Theft and Related Offences,2023,Northland,1
371,Mairtown.,Theft and Related Offences,2023,Northland,1
372,Sherwood Rise.,"Robbery, Extortion and Related Offences",2023,Northland,1
373,Sherwood Rise.,Acts Intended to Cause Injury,2023,Northland,3
374,Raumanga West.,Acts Intended to Cause Injury,2023,Northland,1
375,Punaruku-Kiripaka.,Theft and Related Offences,2023,Northland,1
376,Moerewa.,Acts Intended to Cause Injury,2023,Northland,1
377,Karikari Peninsula-Maungataniwha.,Theft and Related Offences,2023,Northland,1
378,Kamo West.,Acts Intended to Cause Injury,2023,Northland,1
379,Waiotira-Springfield.,Theft and Related Offences,2023,Northland,1
380,Raumanga East.,Theft and Related Offences,2023,Northland,1
381,Woodhill.,Theft and Related Offences,2023,Northland,1
382,Rehia-Oneriri.,Acts Intended to Cause Injury,2023,Northland,1
383,Kaitaia West.,Theft and Related Offences,2023,Northland,1
384,Dargaville.,Theft and Related Offences,2023,Northland,1
385,Kaikohe.,Theft and Related Offences,2023,Northland,1
386,Kensington.,"Robbery, Extortion and Related Offences",2023,Northland,1
387,Maunu.,Acts Intended to Cause Injury,2023,Northland,1
388,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
389,Kaitaia East.,Theft and Related Offences,2023,Northland,1
390,Raumanga East.,Theft and Related Offences,2023,Northland,1
391,Whangarei Central.,"Robbery, Extortion and Related Offences",2023,Northland,1
392,Kaikohe.,Acts Intended to Cause Injury,2023,Northland,1
393,Morningside.,Acts Intended to Cause Injury,2023,Northland,2
394,Whangarei Central.,Theft and Related Offences,2023,Northland,1
395,Paihia.,Theft and Related Offences,2023,Northland,1
396,Raumanga West.,Theft and Related Offences,2023,Northland,1
397,Waipu.,Acts Intended to Cause Injury,2023,Northland,1
398,Kamo West.,Acts Intended to Cause Injury,2023,Northland,1
399,Kerikeri.,Theft and Related Offences,2023,Northland,1
400,Paihia.,Theft and Related Offences,2023,Northland,1
401,Kaitaia East.,Theft and Related Offences,2023,Northland,1
402,Mairtown.,Theft and Related Offences,2023,Northland,1
403,Kaikohe.,Acts Intended to Cause Injury,2023,Northland,1
404,Hikurangi.,Theft and Related Offences,2023,Northland,1
405,Mangawhai.,Theft and Related Offences,2023,Northland,1
406,Tikipunga West.,Theft and Related Offences,2023,Northland,1
407,Sherwood Rise.,Theft and Related Offences,2023,Northland,1
408,Kaitaia West.,Acts Intended to Cause Injury,2023,Northland,1
409,Kaiwaka.,Theft and Related Offences,2023,Northland,1
410,Kamo East.,Theft and Related Offences,2023,Northland,1
411,Ngapuhi-Kaikou.,Theft and Related Offences,2023,Northland,1
412,Kamo East.,Theft and Related Offences,2023,Northland,1
413,Paihia.,Acts Intended to Cause Injury,2023,Northland,1
414,Mairtown.,Theft and Related Offences,2023,Northland,1
415,Mangawhai Heads.,Theft and Related Offences,2023,Northland,1
416,Tikipunga West.,"Robbery, Extortion and Related Offences",2023,Northland,1
417,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
418,Dargaville.,Acts Intended to Cause Injury,2023,Northland,1
419,Raumanga East.,Theft and Related Offences,2023,Northland,1
420,Hikurangi.,Theft and Related Offences,2023,Northland,1
421,Sherwood Rise.,Theft and Related Offences,2023,Northland,1
422,Waitangi.,Acts Intended to Cause Injury,2023,Northland,1
423,Punaruku-Kiripaka.,Theft and Related Offences,2023,Northland,1
