,Area Unit,ANZSOC Division,Year,Region,Victimisations
323,Alexandra.,Acts Intended to Cause Injury,2023,Otago Region,1
324,Wanaka.,Acts Intended to Cause Injury,2023,Otago Region,2
325,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
326,Kenmure.,Acts Intended to Cause Injury,2023,Otago Region,1
327,South Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
328,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
329,Mosgiel South.,Acts Intended to Cause Injury,2023,Otago Region,1
330,Otago University.,Acts Intended to Cause Injury,2023,Otago Region,1
331,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
332,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
333,Green Island.,Theft and Related Offences,2023,Otago Region,1
334,High St-Stuart St.,Theft and Related Offences,2023,Otago Region,1
335,Milton.,Theft and Related Offences,2023,Otago Region,1
336,St Clair.,Theft and Related Offences,2023,Otago Region,1
337,Cromwell.,Theft and Related Offences,2023,Otago Region,1
338,Musselburgh.,Theft and Related Offences,2023,Otago Region,1
339,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
340,Wanaka.,Acts Intended to Cause Injury,2023,Otago Region,1
341,Fernhill.,Acts Intended to Cause Injury,2023,Otago Region,1
342,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
343,South Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
344,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
345,Saddle Hill.,Theft and Related Offences,2023,Otago Region,1
346,Cromwell.,Theft and Related Offences,2023,Otago Region,1
347,Maheno.,Theft and Related Offences,2023,Otago Region,1
348,Brockville.,Theft and Related Offences,2023,Otago Region,1
349,Caledonian.,Theft and Related Offences,2023,Otago Region,1
350,Mosgiel East.,Theft and Related Offences,2023,Otago Region,1
351,Ravensbourne.,Theft and Related Offences,2023,Otago Region,1
352,Fernhill.,Theft and Related Offences,2023,Otago Region,1
353,St Clair.,Theft and Related Offences,2023,Otago Region,1
354,Kenmure.,Theft and Related Offences,2023,Otago Region,1
355,St Clair.,Theft and Related Offences,2023,Otago Region,1
356,Vauxhall.,Theft and Related Offences,2023,Otago Region,1
357,South Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
358,Wanaka.,Acts Intended to Cause Injury,2023,Otago Region,1
359,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
360,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
361,Wanaka.,Acts Intended to Cause Injury,2023,Otago Region,1
362,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,1
363,Corstorphine West.,Theft and Related Offences,2023,Otago Region,1
364,Caledonian.,Theft and Related Offences,2023,Otago Region,2
365,Wanaka.,Theft and Related Offences,2023,Otago Region,2
366,North East Valley.,Theft and Related Offences,2023,Otago Region,2
367,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,2
368,Brockville.,Theft and Related Offences,2023,Otago Region,1
369,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
370,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
371,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
372,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
373,Otago University.,Acts Intended to Cause Injury,2023,Otago Region,1
374,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
375,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
376,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
377,Caversham.,Acts Intended to Cause Injury,2023,Otago Region,1
378,Balclutha.,Acts Intended to Cause Injury,2023,Otago Region,1
379,Mosgiel South.,Acts Intended to Cause Injury,2023,Otago Region,1
380,Mosgiel South.,Acts Intended to Cause Injury,2023,Otago Region,1
381,Caversham.,Theft and Related Offences,2023,Otago Region,2
382,Forbury.,Theft and Related Offences,2023,Otago Region,2
383,Vauxhall.,Theft and Related Offences,2023,Otago Region,2
384,Cromwell.,Theft and Related Offences,2023,Otago Region,2
385,Matukituki.,Theft and Related Offences,2023,Otago Region,2
386,Karitane.,Theft and Related Offences,2023,Otago Region,1
387,Fernhill.,Theft and Related Offences,2023,Otago Region,1
388,Green Island.,Theft and Related Offences,2023,Otago Region,1
389,Wanaka.,Theft and Related Offences,2023,Otago Region,1
390,Balclutha.,Theft and Related Offences,2023,Otago Region,1
391,Forbury.,Theft and Related Offences,2023,Otago Region,1
392,High St-Stuart St.,Theft and Related Offences,2023,Otago Region,1
393,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
